Time,ETH / USD Denominated Closing Price
2018/11/5,208.0755815
2018/11/6,218.0897557
2018/11/7,216.7830564
2018/11/8,210.6431034
2018/11/9,208.1028559
2018/11/10,210.5648653
2018/11/11,209.0642537
2018/11/12,208.2894123
2018/11/13,203.6197972
2018/11/14,176.6737086
2018/11/15,177.5858998
2018/11/16,172.027223
2018/11/17,172.3258343
2018/11/18,174.8875175
2018/11/19,146.8373746
2018/11/20,126.699694
2018/11/21,134.8948387
2018/11/22,124.9831067
2018/11/23,121.4645269
2018/11/24,111.2079193
2018/11/25,114.3281242
2018/11/26,105.9761932
2018/11/27,108.939133
2018/11/28,120.8430357
2018/11/29,116.4500678
2018/11/30,111.6314486
2018/12/1,116.9740228
2018/12/2,114.8738489
2018/12/3,107.4360938
2018/12/4,108.3930742
2018/12/5,101.1326888
2018/12/6,90.81281444
2018/12/7,92.12891613
2018/12/8,90.59914202
2018/12/9,92.99399591
2018/12/10,89.33858884
2018/12/11,87.14203711
2018/12/12,88.85423115
2018/12/13,85.03007481
2018/12/14,83.08653536
2018/12/15,82.83019024
2018/12/16,83.78539188
2018/12/17,93.84370105
2018/12/18,100.2777051
2018/12/19,99.94950497
2018/12/20,114.0839749
2018/12/21,107.8118621
2018/12/22,115.2303159
2018/12/23,129.6937954
2018/12/24,140.3724494
2018/12/25,127.9198144
2018/12/26,130.3094512
2018/12/27,114.1173966
2018/12/28,135.2220918
2018/12/29,140.0987984
2018/12/30,138.4017162
2018/12/31,130.7904605
2019/1/1,139.1546444
2019/1/2,154.4263688
2019/1/3,147.0620868
2019/1/4,153.442377
2019/1/5,154.3017569
2019/1/6,155.9402832
2019/1/7,150.3461318
2019/1/8,149.0527627
2019/1/9,149.6298562
2019/1/10,126.9298039
2019/1/11,124.9705742
2019/1/12,124.3293106
2019/1/13,115.3398954
2019/1/14,128.3235839
2019/1/15,120.3298761
2019/1/16,122.4209138
2019/1/17,122.6477516
2019/1/18,119.4851914
2019/1/19,123.4879912
2019/1/20,117.5152317
2019/1/21,115.9188431
2019/1/22,117.9757198
2019/1/23,116.3134366
2019/1/24,116.326358
2019/1/25,114.9673665
2019/1/26,115.04004
2019/1/27,111.8220769
2019/1/28,105.6671558
2019/1/29,104.2278758
2019/1/30,107.669886
2019/1/31,105.7392361
2019/2/1,106.6349477
2019/2/2,108.5711318
2019/2/3,106.0217227
2019/2/4,106.0266756
2019/2/5,106.1355865
2019/2/6,103.3947122
2019/2/7,103.2990538
2019/2/8,117.5014851
2019/2/9,118.1039635
2019/2/10,123.5778682
2019/2/11,119.7266154
2019/2/12,120.8287019
2019/2/13,120.6902259
2019/2/14,119.6809132
2019/2/15,120.3600254
2019/2/16,121.8048811
2019/2/17,132.8064901
2019/2/18,144.415396
2019/2/19,143.1372957
2019/2/20,147.1921435
2019/2/21,143.6012835
2019/2/22,147.0633042
2019/2/23,157.5305
2019/2/24,135.3831289
2019/2/25,137.9248749
2019/2/26,135.7259161
2019/2/27,133.9967589
2019/2/28,134.7547241
2019/3/1,134.8645646
2019/3/2,132.1972975
2019/3/3,129.6457838
2019/3/4,125.1204395
2019/3/5,135.707659
2019/3/6,137.1823039
2019/3/7,136.1424407
2019/3/8,132.4414211
2019/3/9,136.2969608
2019/3/10,135.2256631
2019/3/11,132.0801075
2019/3/12,132.6961651
2019/3/13,131.1337124
2019/3/14,131.3092826
2019/3/15,135.6029427
2019/3/16,140.6288776
2019/3/17,138.1430523
2019/3/18,137.0632162
2019/3/19,137.9280771
2019/3/20,138.6858925
2019/3/21,134.5865742
2019/3/22,135.8933679
2019/3/23,136.4750406
2019/3/24,135.4194404
2019/3/25,133.0931578
2019/3/26,133.1643399
2019/3/27,139.2153074
2019/3/28,137.3366119
2019/3/29,142.3689775
2019/3/30,142.1077452
2019/3/31,141.2767852
2019/4/1,141.2956888
2019/4/2,165.4668805
2019/4/3,160.2395728
2019/4/4,157.8657369
2019/4/5,165.9389854
2019/4/6,165.4087949
2019/4/7,174.4636596
2019/4/8,180.7795012
2019/4/9,175.9578866
2019/4/10,177.474879
2019/4/11,165.5503612
2019/4/12,164.8918174
